Product_ID,Product_Title,Product_Rating,Category,Discounted_Price,Actual_Price,Discount_Percentage
1,Fashionable & Comfortable,3.9,Women,698,999,30.13%
2,Combo Pack of,3.8,Men,999,1999,50.03%
3,Cilia Mode Leo,4.4,Women,2749,4999,45.01%
4,Men Black Sports,4.2,Men,518,724,15.85%
5,Men Green Sports,3.9,Men,1379,2299,40.02%
6,Women Pink Flats,4.1,Women,359,499,28.06%
7,Women Navy Heels,4,Women,499,999,50.05%
8,Women Blue Wedges,3.9,Women,209,1299,83.91%
9,Sneakers For Women,4.2,Women,549,999,45.05%
10,"Men Black, Beige",4.1,Men,809,899,10.01%
11,TEMPO Men's Combo,3.3,Men,999,999,0.00%
12,Women Gold Heels,4,Women,599,1299,53.89%
13,Flip Flops,4.1,Women,299,599,50.08%
14,Slippers,4.4,Women,599,1199,50.04%
15,adilette CF+ logo,4.5,Men,1979,3599,45.01%
16,"Men Black, Blue",4.2,Men,999,1999,50.03%
17,Men Tan Sandal,4,Men,379,999,62.06%
18,Perfect Stylish Girls,4.2,Women,399,999,60.06%
19,Perfect Stylish Girls,3.9,Women,399,999,60.06%
20,Women Beige Heels,4,,499,999,50.05%
21,170 Smart Grey,4,Men,236,499,52.71%
22,Women Multicolor Flats,3.6,Women,175,499,64.93%
23,Stylish Flat Mules,4,Women,225,699,67.81%
24,crocs Unisex's Clogs,4.7,Women,1596,1607,0.68%
25,GO WALK JOY-CENTERPIECE,4.4,Women,3009,4299,30.01%
26,flip-flops slipper for,4,Men,199,599,66.78%
27,Flip Flops,4.1,Women,249,399,37.59%
28,Boots For Women,4.2,Women,599,999,40.04%
29,Intraflux M Running,4.1,Men,2165,3880,45.01%
30,Women Black Flats,4.1,Women,831,1695,50.97%
31,Trendy Look Up,3.8,Men,499,999,50.05%
32,Jutis For Women,4.1,Women,399,999,60.06%
33,Fila Men's Bryant,3.7,Men,564,1597,64.68%
34,Jutis For Women,3.9,Women,199,499,60.12%
35,Bouncer-01 Running shoes,4.1,Men,759,999,24.02%
36,Walking Shoes For,4,Men,782,999,21.72%
37,Canvas Shoes For,4,Men,658,999,34.13%
38,FASHION SHOE Loafers,4.3,Men,400,999,59.96%
39,"Men Brown, Orange",4.1,,819,999,18.02%
40,Women Black Heels,4,Women,468,1499,68.78%
41,"Women's/Ladies/Female/Girls Lightweight Comfortable,",4.4,Women,525,999,47.45%
42,Slippers,3.6,Men,219,349,37.25%
43,Women Yellow Flats,4.5,Women,899,1499,40.03%
44,Women Red Heels,4.2,Women,1599,1699,5.89%
45,Boots For Women,4.2,Women,429,999,57.06%
46,Party Wear For,3.7,Men,499,799,37.55%
47,Women Girl's Fashion,4.2,Women,246,559,55.99%
48,Shoes for Women,4,Women,347,499,30.46%
49,Canvas Shoes For,4,Men,302,1799,83.21%
50,Jutis Bellies For,3.4,Women,315,999,68.47%
51,Flip Flops,4,Women,220,499,55.91%
52,DD66_4 Jutis For,4.5,Women,1499,2500,40.04%
53,Slippers,4.3,Women,499,999,50.05%
54,"Men Tan, Beige,",4.2,Men,389,999,61.06%
55,169 Smart Sky,4,Men,236,499,52.71%
56,Bellies For Women,4,Women,295,599,50.75%
57,Jungle Boots- Oil,4.3,Men,999,1399,28.59%
58,Flip Flops,3.4,Women,330,499,33.87%
59,SYTHETIC Leather Punjabi,3.9,Men,399,999,60.06%
60,RC3532 003 Lace,4.1,Men,1935,4299,54.99%
61,Kolhapuri Juttis Slip,4.1,Men,999,1999,50.03%
62,Flip Flops,4.1,Men,249,890,72.02%
63,Slippers,3.6,Men,599,1299,53.89%
64,Slides,3.9,Men,300,1500,80.00%
65,Men's Formal Leather,4.1,Men,999,1999,50.03%
66,Men Black Casual,3.9,Men,299,499,40.08%
67,Women Red Heels,4.1,Women,546,999,45.35%
68,Sneakers For Men,4.1,Men,603,1014,42.89%
69,Women Copper Flats,4.1,,349,999,65.07%
70,GO WALK 5,4.7,Women,4239,5299,20.00%
71,Stylish Combo Pack,3.8,Women,630,998,36.87%
72,Mojaris Jutis For,4.3,Men,399,499,20.04%
73,Women's/Ladies/Female/Girls Trendy Fashionable,4.3,Women,380,999,61.96%
74,Men Brown Casual,4.3,Men,799,1999,60.03%
75,Ankle Length &,3.6,Women,429,999,57.06%
76,Men Orange Sandal,4,Men,398,999,60.16%
77,Slides,3.6,Women,259,349,25.79%
78,Women Beige Flats,4,Women,316,999,68.37%
79,Trenzo II IDP,4.1,Women,1709,2999,43.01%
80,Fashionable Boots for,4.3,Women,549,999,45.05%
81,Slippers,3.7,Men,229,499,54.11%
82,Slip On For,4,Men,629,699,10.01%
83,Men Green Sports,4.6,Men,1539,2799,45.02%
84,Mojaris For Men,4.2,Men,474,999,52.55%
85,Women Black Flats,4.1,Women,749,999,25.03%
86,Girls Stylish Cut,4,Women,349,499,30.06%
87,Combo Pack Of,3.6,Women,299,999,70.07%
88,Derby For Men,3.9,Men,458,1624,79.60%
89,Women Pink Bellies,4.1,Women,298,499,40.28%
90,Bellies For Women,3.7,Women,499,999,50.05%
91,Court Vision LowShoe,4.3,Women,3863,4995,22.66%
92,Slippers,3.6,,213,249,14.46%
93,ZAPATOZ Women White,4.7,Women,599,599,0.00%
94,Jutis For Women,3.8,Women,279,1299,78.52%
95,Women Blue Wedges,4,Women,131,399,67.17%
96,807 Boot Shoes,3.8,Women,629,999,37.04%
97,SC0620G Canvas Shoes,4.2,Men,989,1299,23.86%
98,Women Black Wedges,3.9,Women,499,999,50.05%
99,Women Multicolor Sports,3.8,Women,249,499,50.10%
100,Women Grey Heels,4.3,Women,605,1299,53.43%
101,Loafers For Men,3.7,Men,451,510,11.57%
102,Boots For Women,4,Women,399,1999,80.04%
103,Women Black Heels,4.2,Women,425,499,14.83%
104,Women Black Bellies,3.9,Women,304,1199,74.65%
105,Slides,3.5,Men,238,999,76.18%
106,Boots For Women,4.3,Women,397,999,60.26%
107,Jalsa Nagra Jutti,4,Men,350,499,29.86%
108,Slip On Sneakers,4,Women,995,1990,50.00%
109,Mojaris For Men,3.7,Men,499,600,16.83%
110,Slides,4,Men,924,1799,48.64%
111,Espadrilles For Men,2.3,Men,569,1599,64.42%
112,Running Shoes For,4.2,Women,3900,6495,39.95%
113,JALSA Mojaris For,3.7,Men,499,1999,75.04%
114,Combo Pack of,3.8,Women,442,998,55.71%
115,Epic Toss V1,4.4,Men,489,699,30.04%
116,Casual Sneakers Shoes,3.8,Men,599,999,40.04%
117,Ace Slip-On Running,4.3,,2999,4999,40.01%
118,Women Black Heels,4.1,Women,704,858,38.04%
119,X Xiota Women,3.4,Women,488,488,0.00%
120,Women Black Bellies,3.8,Women,279,499,44.09%
121,Jutis For Women,4,Women,199,499,60.12%
122,"Women Red, Black",4.8,Women,551,1400,56.20%
123,Women Black Flats,4.1,Women,499,899,44.49%
124,Slides,3.8,Women,479,599,20.03%
125,Women Grey Wedges,4.2,Women,449,999,55.06%
126,Downshifter 10 Running,4.3,Men,2797,3995,29.99%
127,Women Black Wedges,4.1,Women,453,999,54.65%
128,Running Shoes For,4.2,Men,1349,2699,50.02%
129,Women Casual &,4,Women,569,798,28.70%
130,Women Yellow Heels,4,Women,403,999,59.66%
131,"Walking Shoes,Gym Shoes,Knit",4.1,Men,497,599,17.03%
132,FUZOR B Running,4.2,,2165,3799,43.01%
133,Jutis For Women,3.6,Women,168,499,66.33%
134,Girls Stylish Casual,4.3,Women,655,999,34.43%
135,Women Pink Heels,3.8,Women,399,599,33.39%
136,Women Multicolor Wedges,4,Women,597,799,25.28%
137,Women Multicolor Sports,4.1,Women,437,625,30.08%
138,Slides,4.6,Women,569,999,43.04%
139,Running Shoes For,3.6,Men,399,999,60.06%
140,Bellies For Women,4.3,Women,332,999,66.77%
141,Flip Flops,4.8,Women,449,2397,81.27%
142,Latest Collection For,3.4,Women,420,999,57.96%
143,Walking Shoes For,4.4,Women,1259,4199,70.02%
144,Unifactor M Running,4.2,Men,1814,3299,45.01%
145,High Ankle Denim,4.3,Women,499,999,50.05%
146,Stylish Boots For,4,Women,499,999,50.05%
147,LDS66 Walking Shoes,4.3,Women,599,999,40.04%
148,ELISE Women's Sneakers,4.1,Women,322,397,18.89%
149,Slippers,4.4,Women,599,1199,50.04%
150,Women Brown Wedges,4,Women,389,499,22.04%
151,Ladies Multi Women,4.4,Women,1011,2092,50.03%
152,Women Black Heels,3.6,Women,383,499,23.25%
153,Partywear white ethnic,3.8,Men,699,999,30.03%
154,Loafers For Men,3.9,Men,405,999,59.46%
155,Casuals For Men,4.1,Men,259,499,48.10%
156,Running Shoes For,4.1,Women,571,999,42.84%
157,New Tredy Stylish,4.2,Women,399,899,55.62%
158,TREAD LITE LUX,4.2,Men,1047,2299,54.46%
159,SK LIGHTER Men's,3.2,Men,349,399,12.53%
160,Walking Shoes For,4.1,Women,699,1699,58.86%
161,Men Multicolor Sandal,4.1,Men,569,599,5.01%
162,Colourblocked Trending Multicolor,3.9,Men,426,1399,69.55%
163,Smart Buckle Boots,4.3,Women,540,1299,58.43%
164,"Latest Collection, Comfortable",4,Women,329,400,50.10%
165,Women Off White,3.8,Women,437,999,56.26%
166,Mens Ethnic Golden,3.4,Men,399,499,20.04%
167,Super 445 Fashion,4.6,Men,369,499,26.05%
168,Women's Rajasthani Jutis,4.2,Women,220,499,55.91%
169,Flip Flops,4.1,Women,299,599,50.08%
170,Strider v1 Slip-On,4.4,Men,2699,4499,40.01%
171,Tropical Run Lp,4.3,Women,1233,2999,58.89%
172,Jutis For Men,5,Men,449,749,40.05%
173,Traditional Leather Punjabi,4.8,Men,569,1499,62.04%
174,Slippers,4,Women,331,499,33.67%
175,EXPLORE Sneakers For,4.1,Men,1689,1899,11.06%
176,"Men Black, Grey",3.4,Men,284,999,71.57%
177,Women Black Wedges,4.3,Women,2025,4499,54.99%
178,Women Grey Flats,4.1,Women,479,999,52.05%
179,Men Black Sandal,3.7,Men,474,2199,78.44%
180,Perfect Stylish Casual,4.1,Women,475,999,52.45%
181,Cruxston Wn s,4,Women,1049,3999,73.77%
182,Boots For Women,4.3,Women,499,999,50.05%
183,Women Red Wedges,3.9,Women,599,999,40.04%
184,Boots For Women,3.8,Women,469,999,53.05%
185,Women Beige Wedges,3.8,Women,449,549,18.21%
186,Jutis For Women,4,Women,199,699,71.53%
187,Stylish Casual Partywear,4.2,Women,499,999,50.05%
188,Women Red Heels,4.4,Women,704,1299,45.80%
189,Victriox M Running,4.1,Men,1904,4022,50.01%
190,Women Beige Bellies,4.4,Women,474,999,52.55%
191,Slippers,4.1,Women,319,499,36.07%
192,Trendy Look for,3.6,Men,499,999,50.05%
193,SL-138 Casuals For,4.1,Women,496,625,20.64%
194,Women Tan Heels,3.9,Women,299,850,64.82%
195,Bellies For Women,3.8,Women,280,499,43.89%
196,SPORTSTAR Men Black,3.9,Men,499,599,16.69%
197,Women Pink Bellies,4.2,Women,233,799,70.84%
198,Women Red Wedges,4.1,Women,682,799,14.64%
199,Bellies For Women,4.2,Women,379,499,24.05%
200,Women Pink Wedges,4,Women,499,1499,66.71%
201,Men Blue Sandal,4.1,Men,302,309,2.27%
202,Jutis For Women,3.7,Women,244,499,51.10%
203,Shoes For Girls,4,Women,399,749,46.73%
204,Sneakers For Women,4.2,Women,549,999,45.05%
205,Trendy stylish flexible,4,Men,330,850,61.18%
206,Slippers,4.1,Women,222,279,20.43%
207,Women Black Heels,4.2,Women,475,999,52.45%
208,Outdoors For Men,4,Men,360,999,63.96%
209,Boots For Women,3.8,Women,449,999,55.06%
210,Frio Black Color,3.5,Men,199,1299,84.68%
211,Century-12 Running shoes,4.1,Men,664,999,33.53%
212,Prowl Slip On,4.5,Women,2387,3999,40.31%
